433,427,408,425,407,618,413,406,405,406,403
382,352,373,381,355,359,358,352,349,364,346
421,365,351,373,360,352,410,355,355,354,350
633,360,387,379,450,367,388,361,376,369,389
370,420,365,368,377,363,364,372,387,382,380
380,392,376,374,388,385,418,370,378,387,378
393,387,405,420,427,387,391,404,409,395,390
425,425,412,431,413,442,443,453,427,419,469
475,472,475,468,511,470,488,465,481,475,473
656,581,591,598,600,625,585,578,579,617,586
834,869,880,862,870,860,853,902,851,855,880
1379,1393,1383,1386,1366,1411,1357,1370,1389,1386,1399
2490,2512,2504,2532,2510,2547,2519,2513,2505,2532,2507
4955,5002,5013,4993,4984,5004,4945,4971,4940,5200,5023
9963,10093,10008,10162,10091,10222,10156,10143,10225,10182,10034
20920,20895,20981,21186,20920,20700,21060,21150,21010,20955,21712
43322,43057,43166,43209,43161,42912,43004,43099,43414,42805,43568
90124,93212,90257,91831,92275,96382,93705,89177,91556,90085,90768
213621,215608,217818,216360,216850,216296,215647,221455,212245,217699,212944
493863,499349,491764,482251,501004,483623,486169,500782,485020,485078,491118
