389,2133,2262,2489,4711,3642,8870,6034,5289,27085,5357
431,482,415,408,463,401,1141,1065,983,5608,663
398,449,411,411,458,412,700,1696,612,4840,521
406,424,413,469,423,406,447,1554,682,4742,872
447,436,767,456,432,777,447,1629,429,3711,1041
417,452,590,450,431,421,502,807,448,4067,587
466,447,446,526,800,513,824,633,476,4751,515
460,457,469,475,454,472,506,491,580,3402,585
722,499,681,525,540,560,1087,495,480,3410,690
502,583,683,804,562,526,1325,703,521,2977,807
875,873,985,949,891,918,2091,1342,1264,3547,924
1380,1368,1347,1391,1393,1379,1958,2081,1364,4119,1442
2287,2318,2305,2333,2286,2272,2292,2482,2315,5324,2636
4306,4350,4508,4314,4337,4368,4271,4371,4226,7570,4234
8334,8541,8588,8437,8851,8480,8647,8444,8373,11269,8438
16892,17036,17235,17229,17279,16960,16997,18247,17073,17542,17079
34452,34723,33978,34791,34323,34227,35293,34319,34258,34310,34999
70065,73168,69896,70225,70030,69563,69855,70526,69899,69700,70157
144919,145122,145205,144762,143062,144615,144012,145193,145233,143993,146362
295510,297451,295316,297227,295576,296449,307751,296106,314229,300628,297770
